poi_id,poi_name,poi_distance_from_bike_stn,poi_latitude,poi_longitude,bike_station_id,poi_bsns_category
4aef1502f964a5207cd521e3,Skoob Books,194,51.52504,-0.124594,1eabd7ac8e781befd03f52ef56a18aa7,Retail
4ada5bc6f964a520cd2121e3,Friend at Hand,189,51.522824,-0.124568,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
5ae7872bd69ed0002c51fe1c,Fitz's,253,51.522421,-0.125088,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
4ac518f2f964a52054ae20e3,Gay's the Word,254,51.525446,-0.125172,1eabd7ac8e781befd03f52ef56a18aa7,Retail
4e8428919a5250b89c1377cd,Bloomsbury Farmers' Market,140,51.522918,-0.13074,23efb32f80a9dcd0e4f61fb44b353ce1,Retail
4adf3addf964a520867821e3,Waterstone's,170,51.522416,-0.132236,23efb32f80a9dcd0e4f61fb44b353ce1,Retail
56092269498ec78f8f177d82,Lever & Bloom Coffee,189,51.523379,-0.131283,23efb32f80a9dcd0e4f61fb44b353ce1,Dining and Drinking
4b03fd3bf964a520c85022e3,M&S Foodhall,301,51.519702,-0.133611,23efb32f80a9dcd0e4f61fb44b353ce1,Retail
4ad5ef05f964a5200a0421e3,Russell Square,302,51.522233,-0.12566,23efb32f80a9dcd0e4f61fb44b353ce1,Dining and Drinking
4dac5d654df01c19b1b28234,The Rosetta Stone,336,51.519279,-0.127548,23efb32f80a9dcd0e4f61fb44b353ce1,Arts and Entertainment
4c19f69ed4d9c9289fb3f129,Grant Museum of Zoology,360,51.523779,-0.134338,23efb32f80a9dcd0e4f61fb44b353ce1,Arts and Entertainment
4ac518d2f964a5203da720e3,British Museum,405,51.519253,-0.126922,23efb32f80a9dcd0e4f61fb44b353ce1,Arts and Entertainment
566c15df498ec2bbb92276d9,Waterstones,447,51.51753,-0.131451,23efb32f80a9dcd0e4f61fb44b353ce1,Retail
5ad6fa901987ec2a799bcc7f,The Megaro Eatery,22,51.529833,-0.123878,025ecd9d4f9708f515a36660227c8f3f,Dining and Drinking
542ebca1498ef7f7cf30ac2e,Kings Cross Real Food Market,56,51.530492,-0.12366,025ecd9d4f9708f515a36660227c8f3f,Retail
51a4d34a498e210b840205f7,King's Cross Square,49,51.530445,-0.123505,025ecd9d4f9708f515a36660227c8f3f,Landmarks and Outdoors
513f136f45b0520f06da77b3,Plum + Spilt Milk,110,51.530992,-0.124547,025ecd9d4f9708f515a36660227c8f3f,Dining and Drinking
5da273c41be55d000714136f,Decimo,68,51.529486,-0.124364,025ecd9d4f9708f515a36660227c8f3f,Dining and Drinking
528dc66111d287131419acec,Fortnum & Mason,147,51.53141,-0.126033,025ecd9d4f9708f515a36660227c8f3f,Dining and Drinking
4af53b8df964a5209ef821e3,M&S Simply Food,180,51.53094,-0.125678,025ecd9d4f9708f515a36660227c8f3f,Retail
586c3ce38cfe5450f8b8c82d,Five Guys King's Cross,150,51.530656,-0.12127,025ecd9d4f9708f515a36660227c8f3f,Dining and Drinking
5b3bbaff0868a200397d3986,Ladurée,150,51.531355,-0.126067,025ecd9d4f9708f515a36660227c8f3f,Dining and Drinking
