poi_id,poi_name,review_count,rating,poi_distance_from_bike_stn,poi_latitude,poi_longitude,bike_station_id,poi_bsns_category
l_Y75MzPOr1-PxuJw0JdWg,Addie's Thai Cafe,120,4.0,669,51.493824,-0.194675,67e6c16bce05410ba4b1f0f5000726ea,Dining and Drinking
8hz9UOfK0mIsAzs90vrN8Q,The Muffin Man Tea Shop,115,3.5,332,51.49944,-0.1928114,67e6c16bce05410ba4b1f0f5000726ea,Dining and Drinking
-E5pZ_XXmQM9BCprahxnaw,The Scarsdale Tavern,65,4.0,308,51.496972727492,-0.19898382361723,67e6c16bce05410ba4b1f0f5000726ea,Dining and Drinking
vlq4D26p_143Tj21OF-iMA,Dishoom,577,4.5,661,51.5245310066818,-0.076594190862934,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
hOLFwKg4-0FsCleJ4yoCXw,Duck & Waffle,827,4.0,621,51.516178,-0.08094,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
68gc1BAE1IT_zZghFafw0Q,Ozone Coffee,193,4.5,404,51.524683689256,-0.086674106560876,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
CrQcYS4nWWdXmSD1pxf_KA,Beigel Bake,489,4.0,955,51.524391,-0.071726,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
emdb4ELhKKQXpJ0lIOdg0w,Nightjar,186,4.5,622,51.5265350341797,-0.0877109989523888,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
qF2RobL-4k6IYnS6hpqEyA,Poppies,374,4.0,737,51.5202629,-0.074075,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
DI9SUiuxlf1WjkTu_jJSbg,Hawksmoor Spitalfields,177,4.5,619,51.5211502,-0.075657,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
PrIqHQtsQl-DnafTdS326A,Whitecross Market,73,4.5,590,51.5228285836074,-0.0927653379297215,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
-ylzTrYtRJUJa2BuAInoyQ,Friends of Ours,96,4.5,869,51.5291189,-0.0836995,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
JhmrjmyrIhAVlM0D0n3VoQ,Sushisamba,271,4.0,621,51.516179,-0.080946,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
m3vdBGC0X94sG_5pglDcjQ,St. John Bread & Wine,139,4.5,737,51.5196695,-0.074299,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
4lCI-05rQo2hQMr9qXKJAQ,Pizza Union,92,4.5,652,51.5175265894232,-0.0773585960268974,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
vCF8ut7OZcfA4hEmhngfSQ,Andina,148,4.0,617,51.5243208695971,-0.077134990126122,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
SCdYgnZUaaQiCAUnfRxlsg,Happiness Forgets,111,4.5,742,51.52770282863,-0.0816464424133301,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
iDneZRtqN6dimKmcNQjVZA,The Clove Club,110,4.5,744,51.5270489,-0.0791196,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
vvE5E6WcPkK6ZB3Ivkqiqg,Flat Iron,51,4.5,497,51.5247221,-0.0804249,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
O3WaROs_7OFbYv4B-7m02Q,Polo 24 Hour Bar,111,4.0,488,51.517821,-0.080269,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
ZLPQlA8pLRvNQ1kDCVHmVQ,Pizza East,245,3.5,587,51.5240601,-0.0770451,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
xcWZzhS9HgG3-H6xQMtOtA,The Mayor of Scaredy Cat Town,100,4.0,518,51.51837,-0.07872,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
XPrf1WmmdQ3hyjCExAjrIA,Lounge Bohemia,68,4.5,485,51.5229139449655,-0.0780906239161028,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
IWl1Y0eQOZSnYeIDw94svg,Monmouth Coffee,317,4.5,101,51.5055383383613,-0.0914615294783139,26184215d38089fcad213ef222e69780,Dining and Drinking
