network_city,network_name,station_name,station_id,station_latitude,station_longitude,empty_slots,free_bikes,total_bikes
London,santander-cycles,"001037 - Park Lane , Hyde Park",0f1607337db3f448a30c88647bf8842d,51.5100172,-0.157275636,0,28,28
London,santander-cycles,"001050 - Park Road (Baker Street), The Regent's Park",af92be8d5fd90a932222d0921beb37d8,51.52451738,-0.158963647,16,6,22
London,santander-cycles,"000995 - Little Argyll Street, West End",d46fb01d95c44d99b48a515a6fc304ed,51.51449962,-0.141423695,6,15,21
London,santander-cycles,"003457 - Rochester Row, Westminster",d934ab5acccbbb3f3355b65760d2c188,51.49582705,-0.13547809,12,1,13
London,santander-cycles,"001043 - Museum of London, Barbican",192af6c05ee0929d16619c738b4bf2f7,51.51782144,-0.096496865,52,0,52
London,santander-cycles,"001116 - Emperor's Gate, South Kensington",e6e811c6c149dd40b03bde12f529f00f,51.49536226,-0.185296516,15,7,22
London,santander-cycles,"001039 - Wapping High Street, Wapping",84ac66ae23991053fd3954c960377f24,51.504904,-0.06797,6,14,20
London,santander-cycles,"001053 - Clerkenwell Green, Clerkenwell",2f1b132e8ba437cf2c675a845fea7265,51.52326004,-0.104708922,1,20,21
London,santander-cycles,"001048 - Queen Victoria Street, St. Paul's",cda3e1dfbb85c291f1d7f50af91e4e4b,51.51196176,-0.097441687,30,2,32
London,santander-cycles,"003464 - Green Street, Mayfair",875b49fd8018996a5f1840b6322d951b,51.51227622,-0.157436972,10,9,19
London,santander-cycles,"001056 - Finsbury Square , Moorgate",7a313e52da56a73b85d832b03d57f561,51.52096262,-0.085634242,17,16,33
London,santander-cycles,"001093 - Kennington Cross, Kennington",6f0da70cca0d21bcec718b81b1f7ad4a,51.48894022,-0.111435796,27,20,47
London,santander-cycles,"001115 - Ilchester Place, Kensington",df9f5907d8bc1abc5886ab3e8f030292,51.50074359,-0.202759212,17,7,24
London,santander-cycles,"001046 - Vauxhall Bridge , Pimlico",e387517d593a5fb0f9285d10114b7be9,51.48836528,-0.129361842,26,9,35
London,santander-cycles,"003456 - Portugal Street, Holborn",c1a56df0f3dff761f7955232efc5b3c2,51.51494305,-0.11614642,16,0,16
London,santander-cycles,"001118 - Hampton Street, Walworth",349b2935f590e6258b7a77835b51126b,51.49217002,-0.101536865,4,17,21
London,santander-cycles,"001121 - Lexham Gardens, Kensington",135df949e376eccd60c1439395b54c91,51.49586666,-0.191933711,12,7,19
London,santander-cycles,"001113 - Trebovir Road, Earl's Court",655cec233ee257865f8da98f26e8077f,51.49085368,-0.196170309,9,9,18
London,santander-cycles,"003458 - Waterloo Place, St. James's",1bdad998deaa6975621b1c1bc6de6b1e,51.50663341,-0.131773845,7,13,20
London,santander-cycles,"003478 - Guildhouse Street, Victoria",4aafc6a5480978bfe21cd20a44fe9995,51.49234577,-0.141334487,2,14,16
London,santander-cycles,"001123 - Southampton Place, Holborn",dccac47ca79292c05ee74492b18f4b17,51.51760685,-0.121328408,20,0,20
