network_city,network_name,station_name,bike_station_id,station_latitude,station_longitude,empty_slots,free_bikes,total_bikes,poi_id,poi_name,poi_distance_from_bike_stn,poi_latitude,poi_longitude,poi_bsns_category,review_count,rating
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,zOLPCLptUE2UKRXYWCEHvg,The Modern Pantry,812,51.5230301121618,-0.103575187145258,Dining and Drinking,148.0,4.0
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,q6KDb7nOXgQa5GTWBaCoCQ,Ciao Bella,913,51.5232425139546,-0.119118084823987,Dining and Drinking,138.0,4.0
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,3R0Klq1B1ESNTwqPfcsY-w,The Pig and Butcher,945,51.537442542029,-0.10682789450616,Dining and Drinking,118.0,4.5
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,nwZeSFKD0dRqDM1H4pDy3w,Look Mum No Hands!,1068,51.524013227609,-0.096938452042226,Dining and Drinking,153.0,4.0
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,P3YeWO3ODeWmQVi-IilkAQ,St John Bar and Restaurant,1129,51.520481,-0.101486,Dining and Drinking,312.0,4.0
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,5defbb2b54c07c000857d526,Megan's on the High Street,10,51.499632,-0.19745,Dining and Drinking,,
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,4b1a6a68f964a5200dea23e3,Cafe Phillies,17,51.499786,-0.197632,Dining and Drinking,,
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,4f312695e4b0951ff459b9d5,Nando's,41,51.499307,-0.197465,Dining and Drinking,,
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,4bb899ef98c7ef3b33343102,Trailfinders,47,51.499869,-0.197033,Travel and Transportation,,
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,4b83d8b7f964a520571331e3,Papaya Tree,64,51.499565,-0.196575,Dining and Drinking,,
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,4ba0f031f964a520818837e3,Waitrose,69,51.499071,-0.197882,Retail,,
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,4aeb56cef964a52024c121e3,Kitchen W8,75,51.498961,-0.196759,Dining and Drinking,,
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,xswz3LN249CBWn-Xc7u2lg,Kitchen W8,78,51.4992288,-0.1969429,Dining and Drinking,42.0,4.5
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,4ac518d1f964a520eca620e3,18 Stafford Terrace,108,51.500472,-0.196849,Arts and Entertainment,,
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,57d5606a498e432cab0a7099,The Design Museum,144,51.499903,-0.199759,Arts and Entertainment,,
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,OLXUZqx6doQtdeHfyEoyOw,Balans Soho Society,149,51.4999833,-0.1956639,Dining and Drinking,99.0,4.0
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,4cd1cef21ac7a1cdc9342192,Yashin Sushi,174,51.500487,-0.195375,Dining and Drinking,,
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,jcWobjpfGS5AaJuh13UbUw,Il Portico,200,51.4985799,-0.2000019,Dining and Drinking,54.0,4.5
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,Gdqq0f4R8pBXIcHvAI3SuQ,The Abingdon,243,51.497629045444,-0.19607751802576,Dining and Drinking,54.0,4.5
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,-E5pZ_XXmQM9BCprahxnaw,The Scarsdale Tavern,308,51.496972727492,-0.19898382361723,Dining and Drinking,65.0,4.0
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,8hz9UOfK0mIsAzs90vrN8Q,The Muffin Man Tea Shop,332,51.49944,-0.1928114,Dining and Drinking,115.0,3.5
