yelp_id,yelp_poi_name,review_count,categories,rating,poi_distance,poi_latitude,poi_longitude,bike_station_id
disw05otT_liXnTEy-6ISA,Orjowan Lebanese Cuisine,113,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]",4.5,807,51.4928295219961,-0.193373873798701,67e6c16bce05410ba4b1f0f5000726ea
tcVWoHSko9PIy_Ec95_j1A,Candella Tea Room,93,"[{'alias': 'tea', 'title': 'Tea Rooms'}]",4.5,628,51.5040735504425,-0.192011632025242,67e6c16bce05410ba4b1f0f5000726ea
fsOgXPBc9ZAPFGSrHmLvuw,Holland Park,59,"[{'alias': 'parks', 'title': 'Parks'}]",4.5,466,51.5014628,-0.2036111,67e6c16bce05410ba4b1f0f5000726ea
xswz3LN249CBWn-Xc7u2lg,Kitchen W8,42,"[{'alias': 'french', 'title': 'French'}]",4.5,78,51.4992288,-0.1969429,67e6c16bce05410ba4b1f0f5000726ea
dZU-PrfDwH3LnuW7XGWi0w,Zaika of Kensington,84,"[{'alias': 'indpak', 'title': 'Indian'}]",4.5,774,51.502166,-0.187171,67e6c16bce05410ba4b1f0f5000726ea
ZfM-yM1OWk41l8RJNRMnvw,Da Mario Restaurant,171,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,974,51.4987228161749,-0.183567237647306,67e6c16bce05410ba4b1f0f5000726ea
q7Oz1gTCgoQkFu3VoOQrDQ,Mohsen,80,"[{'alias': 'persian', 'title': 'Persian/Iranian'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",4.5,618,51.495177,-0.20302,67e6c16bce05410ba4b1f0f5000726ea
PBFvhVyBi0lEJyTbyuxf5w,The Orangery,241,"[{'alias': 'british', 'title': 'British'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'tea', 'title': 'Tea Rooms'}]",4.0,1037,51.5066360577041,-0.187725349125042,67e6c16bce05410ba4b1f0f5000726ea
dXEPhJmyV9BiA77wdAfEmg,The Blackbird,172,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'british', 'title': 'British'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,947,51.49178,-0.19211,67e6c16bce05410ba4b1f0f5000726ea
Gdqq0f4R8pBXIcHvAI3SuQ,The Abingdon,54,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.5,243,51.497629045444,-0.19607751802576,67e6c16bce05410ba4b1f0f5000726ea
HntBHodgbw-vhW3MaCqbcw,The Windsor Castle,122,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'british', 'title': 'British'}]",4.0,690,51.505787326816,-0.198597460985184,67e6c16bce05410ba4b1f0f5000726ea
l_Y75MzPOr1-PxuJw0JdWg,Addie's Thai Cafe,120,"[{'alias': 'thai', 'title': 'Thai'}]",4.0,669,51.493824,-0.194675,67e6c16bce05410ba4b1f0f5000726ea
8hz9UOfK0mIsAzs90vrN8Q,The Muffin Man Tea Shop,115,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'tea', 'title': 'Tea Rooms'}]",3.5,332,51.49944,-0.1928114,67e6c16bce05410ba4b1f0f5000726ea
-E5pZ_XXmQM9BCprahxnaw,The Scarsdale Tavern,65,"[{'alias': 'pubs', 'title': 'Pubs'}]",4.0,308,51.496972727492,-0.19898382361723,67e6c16bce05410ba4b1f0f5000726ea
vlq4D26p_143Tj21OF-iMA,Dishoom,577,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,661,51.5245310066818,-0.076594190862934,2d1fd6bf5426f3dc34fae06f43f76f69
hOLFwKg4-0FsCleJ4yoCXw,Duck & Waffle,827,"[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'british', 'title': 'British'}]",4.0,621,51.516178,-0.08094,2d1fd6bf5426f3dc34fae06f43f76f69
68gc1BAE1IT_zZghFafw0Q,Ozone Coffee,193,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,404,51.524683689256,-0.086674106560876,2d1fd6bf5426f3dc34fae06f43f76f69
CrQcYS4nWWdXmSD1pxf_KA,Beigel Bake,489,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'bagels', 'title': 'Bagels'}]",4.0,955,51.524391,-0.071726,2d1fd6bf5426f3dc34fae06f43f76f69
emdb4ELhKKQXpJ0lIOdg0w,Nightjar,186,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,622,51.5265350341797,-0.0877109989523888,2d1fd6bf5426f3dc34fae06f43f76f69
qF2RobL-4k6IYnS6hpqEyA,Poppies,374,"[{'alias': 'fishnchips', 'title': 'Fish & Chips'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",4.0,737,51.5202629,-0.074075,2d1fd6bf5426f3dc34fae06f43f76f69
DI9SUiuxlf1WjkTu_jJSbg,Hawksmoor Spitalfields,177,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'british', 'title': 'British'}]",4.5,619,51.5211502,-0.075657,2d1fd6bf5426f3dc34fae06f43f76f69
PrIqHQtsQl-DnafTdS326A,Whitecross Market,73,"[{'alias': 'streetvendors', 'title': 'Street Vendors'}]",4.5,590,51.5228285836074,-0.0927653379297215,2d1fd6bf5426f3dc34fae06f43f76f69
-ylzTrYtRJUJa2BuAInoyQ,Friends of Ours,96,"[{'alias': 'cafes', 'title': 'Cafes'}]",4.5,869,51.5291189,-0.0836995,2d1fd6bf5426f3dc34fae06f43f76f69
JhmrjmyrIhAVlM0D0n3VoQ,Sushisamba,271,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.0,621,51.516179,-0.080946,2d1fd6bf5426f3dc34fae06f43f76f69
m3vdBGC0X94sG_5pglDcjQ,St. John Bread & Wine,139,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",4.5,737,51.5196695,-0.074299,2d1fd6bf5426f3dc34fae06f43f76f69
4lCI-05rQo2hQMr9qXKJAQ,Pizza Union,92,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,652,51.5175265894232,-0.0773585960268974,2d1fd6bf5426f3dc34fae06f43f76f69
vCF8ut7OZcfA4hEmhngfSQ,Andina,148,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'peruvian', 'title': 'Peruvian'}]",4.0,617,51.5243208695971,-0.077134990126122,2d1fd6bf5426f3dc34fae06f43f76f69
SCdYgnZUaaQiCAUnfRxlsg,Happiness Forgets,111,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,742,51.52770282863,-0.0816464424133301,2d1fd6bf5426f3dc34fae06f43f76f69
iDneZRtqN6dimKmcNQjVZA,The Clove Club,110,"[{'alias': 'british', 'title': 'British'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,744,51.5270489,-0.0791196,2d1fd6bf5426f3dc34fae06f43f76f69
vvE5E6WcPkK6ZB3Ivkqiqg,Flat Iron,51,"[{'alias': 'steak', 'title': 'Steakhouses'}]",4.5,497,51.5247221,-0.0804249,2d1fd6bf5426f3dc34fae06f43f76f69
O3WaROs_7OFbYv4B-7m02Q,Polo 24 Hour Bar,111,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,488,51.517821,-0.080269,2d1fd6bf5426f3dc34fae06f43f76f69
ZLPQlA8pLRvNQ1kDCVHmVQ,Pizza East,245,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.5,587,51.5240601,-0.0770451,2d1fd6bf5426f3dc34fae06f43f76f69
xcWZzhS9HgG3-H6xQMtOtA,The Mayor of Scaredy Cat Town,100,"[{'alias': 'lounges', 'title': 'Lounges'}]",4.0,518,51.51837,-0.07872,2d1fd6bf5426f3dc34fae06f43f76f69
XPrf1WmmdQ3hyjCExAjrIA,Lounge Bohemia,68,"[{'alias': 'lounges', 'title': 'Lounges'}]",4.5,485,51.5229139449655,-0.0780906239161028,2d1fd6bf5426f3dc34fae06f43f76f69
IWl1Y0eQOZSnYeIDw94svg,Monmouth Coffee,317,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,101,51.5055383383613,-0.0914615294783139,26184215d38089fcad213ef222e69780
QXOrompG3b2o7g6P4ePb5w,Tate Modern,727,"[{'alias': 'artmuseums', 'title': 'Art Museums'}]",4.0,488,51.5078610102146,-0.0991344451904297,26184215d38089fcad213ef222e69780
KzYd2EaFvmu63wqTIektSA,Padella,265,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,219,51.5051451,-0.0899515,26184215d38089fcad213ef222e69780
KZd0pTzAhKbIs9Lg94Delg,Bread Ahead Bakery | Borough Market,96,"[{'alias': 'bakeries', 'title': 'Bakeries'}]",4.5,173,51.5061427,-0.090258,26184215d38089fcad213ef222e69780
K0lmqEgpNz97FausJUyn1A,Swan,258,"[{'alias': 'british', 'title': 'British'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,394,51.50835,-0.096985,26184215d38089fcad213ef222e69780
rKwkCvsSfp8z7w1CmNnMMQ,The Table,288,"[{'alias': 'british', 'title': 'British'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,480,51.505604,-0.099671,26184215d38089fcad213ef222e69780
4CGgn2MmN5Z7B6GAlMAcxQ,Mango Indian,144,"[{'alias': 'indpak', 'title': 'Indian'}]",4.5,113,51.504962,-0.092963,26184215d38089fcad213ef222e69780
mvs07Hrm2YrwObqDubABFg,St. Paul's Cathedral,313,"[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'churches', 'title': 'Churches'}]",4.5,977,51.5137180425786,-0.0994492651268561,26184215d38089fcad213ef222e69780
h65i1MG-qok2e2eFU_1h1w,Sky Garden,242,"[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,863,51.511313200747,-0.0836999694629159,26184215d38089fcad213ef222e69780
nowLq0ziL3B0Acpyhgs_RA,The View From The Shard,172,"[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,475,51.5042670700976,-0.0864594091162376,26184215d38089fcad213ef222e69780
iVs-N80pYt58IKqFBP1IHA,fish!,194,"[{'alias': 'fishnchips', 'title': 'Fish & Chips'}, {'alias': 'seafood', 'title': 'Seafood'}]",3.5,173,51.5057616189729,-0.0902772509261922,26184215d38089fcad213ef222e69780
34F8sZE1xq-Ki-zSPbHrGg,Wright Brothers,94,"[{'alias': 'seafood', 'title': 'Seafood'}]",4.0,92,51.5056293987386,-0.0915365713523675,26184215d38089fcad213ef222e69780
